M4id,Frequency,Horizon,SP,StartingDate
Y11580,1,6,Yearly,01-01-87 12:00
Y11581,1,6,Yearly,01-01-87 12:00
Y11582,1,6,Yearly,01-01-87 12:00
Y11583,1,6,Yearly,01-01-87 12:00
Y11584,1,6,Yearly,01-01-87 12:00
Y11585,1,6,Yearly,01-01-87 12:00
Y11586,1,6,Yearly,01-01-87 12:00
Y11587,1,6,Yearly,01-01-87 12:00
Y11588,1,6,Yearly,01-01-87 12:00
Y11589,1,6,Yearly,01-01-87 12:00
Y11590,1,6,Yearly,01-01-87 12:00
Y11591,1,6,Yearly,01-01-87 12:00
Y11592,1,6,Yearly,01-01-87 12:00
Y11593,1,6,Yearly,01-01-87 12:00
Y11594,1,6,Yearly,01-01-87 12:00
Y11595,1,6,Yearly,01-01-87 12:00
Y11596,1,6,Yearly,01-01-87 12:00
Y11597,1,6,Yearly,01-01-87 12:00
Y11598,1,6,Yearly,01-01-87 12:00
Y11599,1,6,Yearly,01-01-67 12:00
Y11600,1,6,Yearly,01-01-86 12:00
Y11601,1,6,Yearly,01-01-48 12:00
Y11602,1,6,Yearly,01-01-48 12:00
Y11603,1,6,Yearly,01-01-48 12:00
Y11604,1,6,Yearly,01-01-48 12:00
Y11605,1,6,Yearly,01-01-48 12:00
Y11606,1,6,Yearly,01-01-29 12:00
Y11607,1,6,Yearly,01-01-48 12:00
Y11608,1,6,Yearly,01-01-48 12:00
Y11609,1,6,Yearly,01-01-48 12:00
Y11610,1,6,Yearly,01-01-48 12:00
Y11611,1,6,Yearly,01-01-48 12:00
Y11612,1,6,Yearly,01-01-48 12:00
Y11613,1,6,Yearly,01-01-48 12:00
Y11614,1,6,Yearly,01-01-48 12:00
Y11615,1,6,Yearly,01-01-48 12:00
Y11616,1,6,Yearly,01-01-48 12:00
Y11617,1,6,Yearly,01-01-48 12:00
Y11618,1,6,Yearly,01-01-48 12:00
Y11619,1,6,Yearly,01-01-48 12:00
Y11620,1,6,Yearly,01-01-48 12:00
Y11621,1,6,Yearly,01-01-48 12:00
Y11622,1,6,Yearly,01-01-48 12:00
Y11623,1,6,Yearly,01-01-48 12:00
Y11624,1,6,Yearly,01-01-48 12:00
Y11625,1,6,Yearly,01-01-48 12:00
Y11626,1,6,Yearly,01-01-48 12:00
Y11627,1,6,Yearly,01-01-48 12:00
Y11628,1,6,Yearly,01-01-48 12:00
Y11629,1,6,Yearly,01-01-48 12:00
Y11630,1,6,Yearly,01-01-48 12:00
Y11631,1,6,Yearly,01-01-48 12:00
Y11632,1,6,Yearly,01-01-48 12:00
Y11633,1,6,Yearly,01-01-48 12:00
Y11634,1,6,Yearly,01-01-48 12:00
Y11635,1,6,Yearly,01-01-48 12:00
Y11636,1,6,Yearly,01-01-48 12:00
Y11637,1,6,Yearly,01-01-48 12:00
Y11638,1,6,Yearly,01-01-87 12:00
Y11639,1,6,Yearly,01-01-29 12:00
Y11640,1,6,Yearly,01-01-72 12:00
Y11641,1,6,Yearly,01-01-67 12:00
Y11642,1,6,Yearly,01-01-67 12:00
Y11643,1,6,Yearly,01-01-67 12:00
Y11644,1,6,Yearly,01-01-67 12:00
Y11645,1,6,Yearly,01-01-29 12:00
Y11646,1,6,Yearly,01-01-29 12:00
Y11647,1,6,Yearly,01-01-29 12:00
Y11648,1,6,Yearly,01-01-48 12:00
Y11649,1,6,Yearly,01-01-29 12:00
Y11650,1,6,Yearly,01-01-67 12:00
Y11651,1,6,Yearly,01-01-67 12:00
Y11652,1,6,Yearly,01-01-87 12:00
Y11653,1,6,Yearly,01-01-29 12:00
Y11654,1,6,Yearly,01-01-72 12:00
Y11655,1,6,Yearly,01-01-67 12:00
Y11656,1,6,Yearly,01-01-29 12:00
Y11657,1,6,Yearly,01-01-29 12:00
Y11658,1,6,Yearly,01-01-29 12:00
Y11659,1,6,Yearly,01-01-87 12:00
Y11660,1,6,Yearly,01-01-29 12:00
Y11661,1,6,Yearly,01-01-85 12:00
Y11662,1,6,Yearly,01-01-68 12:00
Y11663,1,6,Yearly,01-01-87 12:00
Y11664,1,6,Yearly,01-01-29 12:00
Y11665,1,6,Yearly,01-01-48 12:00
Y11666,1,6,Yearly,01-01-59 12:00
Y11667,1,6,Yearly,01-01-86 12:00
Y11668,1,6,Yearly,01-01-80 12:00
Y11669,1,6,Yearly,01-01-80 12:00
Y11670,1,6,Yearly,1884-01-01 12:00:00
Y11671,1,6,Yearly,1878-01-01 12:00:00
Y11672,1,6,Yearly,1866-01-01 12:00:00
Y11673,1,6,Yearly,1880-01-01 12:00:00
Y11674,1,6,Yearly,1880-01-01 12:00:00
Y11675,1,6,Yearly,01-01-06 12:00
Y11676,1,6,Yearly,01-01-11 12:00
Y11677,1,6,Yearly,01-01-18 12:00
Y11678,1,6,Yearly,01-01-18 12:00
Y11679,1,6,Yearly,01-01-11 12:00
Y11680,1,6,Yearly,1878-01-01 12:00:00
Y11681,1,6,Yearly,1815-01-01 12:00:00
Y11682,1,6,Yearly,1866-01-01 12:00:00
Y11683,1,6,Yearly,1868-01-01 12:00:00
Y11684,1,6,Yearly,1839-01-01 12:00:00
Y11685,1,6,Yearly,01-01-15 12:00
Y11686,1,6,Yearly,01-01-20 12:00
Y11687,1,6,Yearly,01-01-15 12:00
Y11688,1,6,Yearly,01-01-17 12:00
Y11689,1,6,Yearly,01-01-50 12:00
Y11690,1,6,Yearly,01-01-50 12:00
Y11691,1,6,Yearly,01-01-80 12:00
Y11692,1,6,Yearly,01-01-75 12:00
Y11693,1,6,Yearly,01-01-70 12:00
Y11694,1,6,Yearly,01-01-66 12:00
Y11695,1,6,Yearly,01-01-57 12:00
Y11696,1,6,Yearly,01-01-60 12:00
Y11697,1,6,Yearly,01-01-77 12:00
Y11698,1,6,Yearly,01-01-60 12:00
Y11699,1,6,Yearly,01-01-55 12:00
Y11700,1,6,Yearly,01-01-70 12:00
Y11701,1,6,Yearly,01-01-61 12:00
Y11702,1,6,Yearly,01-01-55 12:00
Y11703,1,6,Yearly,01-01-60 12:00
Y11704,1,6,Yearly,01-01-91 12:00
Y11705,1,6,Yearly,01-01-91 12:00
Y11706,1,6,Yearly,01-01-50 12:00
Y11707,1,6,Yearly,01-01-50 12:00
Y11708,1,6,Yearly,01-01-50 12:00
Y11709,1,6,Yearly,01-01-70 12:00
Y11710,1,6,Yearly,01-01-58 12:00
Y11711,1,6,Yearly,01-01-50 12:00
Y11712,1,6,Yearly,01-01-84 12:00
Y11713,1,6,Yearly,01-01-86 12:00
Y11714,1,6,Yearly,01-01-76 12:00
Y11715,1,6,Yearly,01-01-76 12:00
Y11716,1,6,Yearly,01-01-50 12:00
Y11717,1,6,Yearly,01-01-70 12:00
Y11718,1,6,Yearly,01-01-55 12:00
Y11719,1,6,Yearly,01-01-50 12:00
Y11720,1,6,Yearly,01-01-50 12:00
Y11721,1,6,Yearly,01-01-70 12:00
Y11722,1,6,Yearly,01-01-90 12:00
Y11723,1,6,Yearly,01-01-90 12:00
Y11724,1,6,Yearly,01-01-90 12:00
Y11725,1,6,Yearly,01-01-79 12:00
Y11726,1,6,Yearly,01-01-79 12:00
Y11727,1,6,Yearly,01-01-87 12:00
Y11728,1,6,Yearly,01-01-59 12:00
Y11729,1,6,Yearly,01-01-73 12:00
Y11730,1,6,Yearly,01-01-71 12:00
Y11731,1,6,Yearly,01-01-57 12:00
Y11732,1,6,Yearly,01-01-69 12:00
Y11733,1,6,Yearly,01-01-70 12:00
Y11734,1,6,Yearly,01-01-90 12:00
Y11735,1,6,Yearly,01-01-87 12:00
Y11736,1,6,Yearly,01-01-89 12:00
Y11737,1,6,Yearly,01-01-60 12:00
Y11738,1,6,Yearly,01-01-60 12:00
Y11739,1,6,Yearly,01-01-60 12:00
Y11740,1,6,Yearly,01-01-60 12:00
Y11741,1,6,Yearly,01-01-60 12:00
Y11742,1,6,Yearly,01-01-60 12:00
Y11743,1,6,Yearly,01-01-60 12:00
Y11744,1,6,Yearly,01-01-60 12:00
Y11745,1,6,Yearly,01-01-60 12:00
Y11746,1,6,Yearly,01-01-60 12:00
Y11747,1,6,Yearly,01-01-60 12:00
Y11748,1,6,Yearly,01-01-60 12:00
Y11749,1,6,Yearly,01-01-60 12:00
Y11750,1,6,Yearly,01-01-60 12:00
Y11751,1,6,Yearly,01-01-60 12:00
Y11752,1,6,Yearly,01-01-60 12:00
Y11753,1,6,Yearly,01-01-60 12:00
Y11754,1,6,Yearly,01-01-60 12:00
Y11755,1,6,Yearly,01-01-74 12:00
Y11756,1,6,Yearly,01-01-60 12:00
Y11757,1,6,Yearly,01-01-60 12:00
Y11758,1,6,Yearly,01-01-60 12:00
Y11759,1,6,Yearly,01-01-60 12:00
Y11760,1,6,Yearly,01-01-60 12:00
Y11761,1,6,Yearly,01-01-73 12:00
Y11762,1,6,Yearly,01-01-85 12:00
Y11763,1,6,Yearly,01-01-78 12:00
Y11764,1,6,Yearly,01-01-50 12:00
Y11765,1,6,Yearly,01-01-50 12:00
Y11766,1,6,Yearly,01-01-50 12:00
Y11767,1,6,Yearly,01-01-70 12:00
Y11768,1,6,Yearly,01-01-70 12:00
Y11769,1,6,Yearly,01-01-90 12:00
Y11770,1,6,Yearly,01-01-90 12:00
Y11771,1,6,Yearly,01-01-90 12:00
Y11772,1,6,Yearly,01-01-90 12:00
Y11773,1,6,Yearly,01-01-90 12:00
Y11774,1,6,Yearly,01-01-90 12:00
Y11775,1,6,Yearly,01-01-90 12:00
Y11776,1,6,Yearly,01-01-90 12:00
Y11777,1,6,Yearly,01-01-90 12:00
Y11778,1,6,Yearly,01-01-90 12:00
Y11779,1,6,Yearly,01-01-90 12:00
Y11780,1,6,Yearly,01-01-90 12:00
Y11781,1,6,Yearly,01-01-90 12:00
Y11782,1,6,Yearly,01-01-90 12:00
Y11783,1,6,Yearly,01-01-90 12:00
Y11784,1,6,Yearly,01-01-90 12:00
Y11785,1,6,Yearly,01-01-90 12:00
Y11786,1,6,Yearly,01-01-90 12:00
Y11787,1,6,Yearly,01-01-90 12:00
Y11788,1,6,Yearly,01-01-90 12:00
Y11789,1,6,Yearly,01-01-90 12:00
Y11790,1,6,Yearly,01-01-90 12:00
Y11791,1,6,Yearly,01-01-90 12:00
Y11792,1,6,Yearly,01-01-90 12:00
Y11793,1,6,Yearly,01-01-90 12:00
Y11794,1,6,Yearly,01-01-90 12:00
Y11795,1,6,Yearly,01-01-90 12:00
Y11796,1,6,Yearly,01-01-90 12:00
Y11797,1,6,Yearly,01-01-90 12:00
Y11798,1,6,Yearly,01-01-90 12:00
Y11799,1,6,Yearly,01-01-90 12:00
Y11800,1,6,Yearly,01-01-90 12:00
Y11801,1,6,Yearly,01-01-90 12:00
Y11802,1,6,Yearly,01-01-90 12:00
Y11803,1,6,Yearly,01-01-90 12:00
Y11804,1,6,Yearly,01-01-90 12:00
Y11805,1,6,Yearly,01-01-84 12:00
Y11806,1,6,Yearly,01-01-84 12:00
Y11807,1,6,Yearly,01-01-84 12:00
Y11808,1,6,Yearly,01-01-84 12:00
Y11809,1,6,Yearly,01-01-84 12:00
Y11810,1,6,Yearly,01-01-84 12:00
Y11811,1,6,Yearly,01-01-84 12:00
Y11812,1,6,Yearly,01-01-84 12:00
Y11813,1,6,Yearly,01-01-84 12:00
Y11814,1,6,Yearly,01-01-90 12:00
Y11815,1,6,Yearly,01-01-90 12:00
Y11816,1,6,Yearly,01-01-90 12:00
Y11817,1,6,Yearly,01-01-90 12:00
Y11818,1,6,Yearly,01-01-90 12:00
Y11819,1,6,Yearly,01-01-90 12:00
Y11820,1,6,Yearly,01-01-90 12:00
Y11821,1,6,Yearly,01-01-90 12:00
Y11822,1,6,Yearly,01-01-90 12:00
Y11823,1,6,Yearly,01-01-90 12:00
Y11824,1,6,Yearly,01-01-90 12:00
Y11825,1,6,Yearly,01-01-90 12:00
Y11826,1,6,Yearly,01-01-90 12:00
Y11827,1,6,Yearly,01-01-90 12:00
Y11828,1,6,Yearly,01-01-90 12:00
Y11829,1,6,Yearly,01-01-90 12:00
Y11830,1,6,Yearly,01-01-84 12:00
Y11831,1,6,Yearly,01-01-84 12:00
Y11832,1,6,Yearly,01-01-84 12:00
Y11833,1,6,Yearly,01-01-84 12:00
Y11834,1,6,Yearly,01-01-84 12:00
Y11835,1,6,Yearly,01-01-84 12:00
Y11836,1,6,Yearly,01-01-84 12:00
Y11837,1,6,Yearly,01-01-84 12:00
Y11838,1,6,Yearly,01-01-84 12:00
Y11839,1,6,Yearly,01-01-84 12:00
Y11840,1,6,Yearly,01-01-90 12:00
Y11841,1,6,Yearly,01-01-90 12:00
Y11842,1,6,Yearly,01-01-90 12:00
Y11843,1,6,Yearly,01-01-90 12:00
Y11844,1,6,Yearly,01-01-90 12:00
Y11845,1,6,Yearly,01-01-90 12:00
Y11846,1,6,Yearly,01-01-90 12:00
Y11847,1,6,Yearly,01-01-90 12:00
Y11848,1,6,Yearly,01-01-90 12:00
Y11849,1,6,Yearly,01-01-90 12:00
Y11850,1,6,Yearly,01-01-58 12:00
Y11851,1,6,Yearly,01-01-90 12:00
Y11852,1,6,Yearly,01-01-90 12:00
Y11853,1,6,Yearly,01-01-87 12:00
Y11854,1,6,Yearly,01-01-87 12:00
Y11855,1,6,Yearly,01-01-87 12:00
Y11856,1,6,Yearly,01-01-87 12:00
Y11857,1,6,Yearly,01-01-87 12:00
Y11858,1,6,Yearly,01-01-87 12:00
Y11859,1,6,Yearly,01-01-90 12:00
Y11860,1,6,Yearly,01-01-90 12:00
Y11861,1,6,Yearly,01-01-90 12:00
Y11862,1,6,Yearly,01-01-90 12:00
Y11863,1,6,Yearly,01-01-90 12:00
Y11864,1,6,Yearly,01-01-90 12:00
Y11865,1,6,Yearly,01-01-90 12:00
Y11866,1,6,Yearly,01-01-90 12:00
Y11867,1,6,Yearly,01-01-84 12:00
Y11868,1,6,Yearly,01-01-84 12:00
Y11869,1,6,Yearly,01-01-84 12:00
Y11870,1,6,Yearly,01-01-84 12:00
Y11871,1,6,Yearly,01-01-84 12:00
Y11872,1,6,Yearly,01-01-84 12:00
Y11873,1,6,Yearly,01-01-90 12:00
Y11874,1,6,Yearly,01-01-90 12:00
Y11875,1,6,Yearly,01-01-90 12:00
Y11876,1,6,Yearly,01-01-90 12:00
Y11877,1,6,Yearly,01-01-90 12:00
Y11878,1,6,Yearly,01-01-90 12:00
Y11879,1,6,Yearly,01-01-90 12:00
Y11880,1,6,Yearly,01-01-90 12:00
Y11881,1,6,Yearly,01-01-90 12:00
Y11882,1,6,Yearly,01-01-90 12:00
Y11883,1,6,Yearly,01-01-90 12:00
Y11884,1,6,Yearly,01-01-90 12:00
Y11885,1,6,Yearly,01-01-90 12:00
Y11886,1,6,Yearly,01-01-90 12:00
Y11887,1,6,Yearly,01-01-90 12:00
Y11888,1,6,Yearly,01-01-90 12:00
Y11889,1,6,Yearly,01-01-90 12:00
Y11890,1,6,Yearly,01-01-90 12:00
Y11891,1,6,Yearly,01-01-90 12:00
Y11892,1,6,Yearly,01-01-90 12:00
Y11893,1,6,Yearly,01-01-90 12:00
Y11894,1,6,Yearly,01-01-90 12:00
Y11895,1,6,Yearly,01-01-90 12:00
Y11896,1,6,Yearly,01-01-90 12:00
Y11897,1,6,Yearly,01-01-90 12:00
Y11898,1,6,Yearly,01-01-90 12:00
Y11899,1,6,Yearly,01-01-90 12:00
Y11900,1,6,Yearly,01-01-90 12:00
Y11901,1,6,Yearly,01-01-90 12:00
Y11902,1,6,Yearly,01-01-90 12:00
Y11903,1,6,Yearly,01-01-90 12:00
Y11904,1,6,Yearly,01-01-90 12:00
Y11905,1,6,Yearly,01-01-90 12:00
Y11906,1,6,Yearly,01-01-90 12:00
Y11907,1,6,Yearly,01-01-90 12:00
Y11908,1,6,Yearly,01-01-90 12:00
Y11909,1,6,Yearly,01-01-90 12:00
Y11910,1,6,Yearly,01-01-90 12:00
Y11911,1,6,Yearly,01-01-90 12:00
Y11912,1,6,Yearly,01-01-90 12:00
Y11913,1,6,Yearly,01-01-90 12:00
Y11914,1,6,Yearly,01-01-90 12:00
Y11915,1,6,Yearly,01-01-90 12:00
Y11916,1,6,Yearly,01-01-90 12:00
Y11917,1,6,Yearly,01-01-90 12:00
Y11918,1,6,Yearly,01-01-90 12:00
Y11919,1,6,Yearly,01-01-90 12:00
Y11920,1,6,Yearly,01-01-90 12:00
Y11921,1,6,Yearly,01-01-90 12:00
Y11922,1,6,Yearly,01-01-90 12:00
Y11923,1,6,Yearly,01-01-90 12:00
Y11924,1,6,Yearly,01-01-90 12:00
Y11925,1,6,Yearly,01-01-90 12:00
Y11926,1,6,Yearly,01-01-90 12:00
Y11927,1,6,Yearly,01-01-90 12:00
Y11928,1,6,Yearly,01-01-90 12:00
Y11929,1,6,Yearly,01-01-90 12:00
Y11930,1,6,Yearly,01-01-90 12:00
Y11931,1,6,Yearly,01-01-90 12:00
Y11932,1,6,Yearly,01-01-90 12:00
Y11933,1,6,Yearly,01-01-90 12:00
Y11934,1,6,Yearly,01-01-90 12:00
Y11935,1,6,Yearly,01-01-84 12:00
Y11936,1,6,Yearly,01-01-84 12:00
Y11937,1,6,Yearly,01-01-84 12:00
Y11938,1,6,Yearly,01-01-84 12:00
Y11939,1,6,Yearly,01-01-84 12:00
Y11940,1,6,Yearly,01-01-84 12:00
Y11941,1,6,Yearly,01-01-70 12:00
Y11942,1,6,Yearly,01-01-90 12:00
Y11943,1,6,Yearly,01-01-70 12:00
Y11944,1,6,Yearly,01-01-90 12:00
Y11945,1,6,Yearly,01-01-90 12:00
Y11946,1,6,Yearly,01-01-90 12:00
Y11947,1,6,Yearly,01-01-90 12:00
Y11948,1,6,Yearly,01-01-90 12:00
Y11949,1,6,Yearly,01-01-90 12:00
Y11950,1,6,Yearly,01-01-90 12:00
Y11951,1,6,Yearly,01-01-90 12:00
Y11952,1,6,Yearly,01-01-90 12:00
Y11953,1,6,Yearly,01-01-90 12:00
Y11954,1,6,Yearly,01-01-90 12:00
Y11955,1,6,Yearly,01-01-90 12:00
Y11956,1,6,Yearly,01-01-90 12:00
Y11957,1,6,Yearly,01-01-90 12:00
Y11958,1,6,Yearly,01-01-90 12:00
Y11959,1,6,Yearly,01-01-90 12:00
Y11960,1,6,Yearly,01-01-90 12:00
Y11961,1,6,Yearly,01-01-90 12:00
Y11962,1,6,Yearly,01-01-90 12:00
Y11963,1,6,Yearly,01-01-90 12:00
Y11964,1,6,Yearly,01-01-90 12:00
Y11965,1,6,Yearly,01-01-90 12:00
Y11966,1,6,Yearly,01-01-90 12:00
Y11967,1,6,Yearly,01-01-90 12:00
Y11968,1,6,Yearly,01-01-90 12:00
Y11969,1,6,Yearly,01-01-90 12:00
Y11970,1,6,Yearly,01-01-90 12:00
Y11971,1,6,Yearly,01-01-90 12:00
Y11972,1,6,Yearly,01-01-90 12:00
Y11973,1,6,Yearly,01-01-90 12:00
Y11974,1,6,Yearly,01-01-90 12:00
Y11975,1,6,Yearly,01-01-90 12:00
Y11976,1,6,Yearly,01-01-90 12:00
Y11977,1,6,Yearly,01-01-90 12:00
Y11978,1,6,Yearly,01-01-90 12:00
Y11979,1,6,Yearly,01-01-90 12:00
Y11980,1,6,Yearly,01-01-90 12:00
Y11981,1,6,Yearly,01-01-90 12:00
Y11982,1,6,Yearly,01-01-84 12:00
Y11983,1,6,Yearly,01-01-84 12:00
Y11984,1,6,Yearly,01-01-84 12:00
Y11985,1,6,Yearly,01-01-84 12:00
Y11986,1,6,Yearly,01-01-84 12:00
Y11987,1,6,Yearly,01-01-84 12:00
Y11988,1,6,Yearly,01-01-90 12:00
Y11989,1,6,Yearly,01-01-90 12:00
Y11990,1,6,Yearly,01-01-90 12:00
Y11991,1,6,Yearly,01-01-90 12:00
Y11992,1,6,Yearly,01-01-90 12:00
Y11993,1,6,Yearly,01-01-84 12:00
Y11994,1,6,Yearly,01-01-84 12:00
Y11995,1,6,Yearly,01-01-84 12:00
Y11996,1,6,Yearly,01-01-84 12:00
Y11997,1,6,Yearly,01-01-84 12:00
Y11998,1,6,Yearly,01-01-84 12:00
Y11999,1,6,Yearly,01-01-84 12:00
Y12000,1,6,Yearly,01-01-84 12:00
Y12001,1,6,Yearly,01-01-90 12:00
Y12002,1,6,Yearly,01-01-90 12:00
Y12003,1,6,Yearly,01-01-90 12:00
Y12004,1,6,Yearly,01-01-90 12:00
Y12005,1,6,Yearly,01-01-90 12:00
Y12006,1,6,Yearly,01-01-90 12:00
Y12007,1,6,Yearly,01-01-90 12:00
Y12008,1,6,Yearly,01-01-90 12:00
Y12009,1,6,Yearly,01-01-90 12:00
Y12010,1,6,Yearly,01-01-90 12:00
Y12011,1,6,Yearly,01-01-90 12:00
Y12012,1,6,Yearly,01-01-90 12:00
Y12013,1,6,Yearly,01-01-90 12:00
Y12014,1,6,Yearly,01-01-90 12:00
Y12015,1,6,Yearly,01-01-90 12:00
Y12016,1,6,Yearly,01-01-90 12:00
Y12017,1,6,Yearly,01-01-90 12:00
Y12018,1,6,Yearly,01-01-90 12:00
Y12019,1,6,Yearly,01-01-90 12:00
Y12020,1,6,Yearly,01-01-90 12:00
Y12021,1,6,Yearly,01-01-90 12:00
Y12022,1,6,Yearly,01-01-90 12:00
Y12023,1,6,Yearly,01-01-90 12:00
Y12024,1,6,Yearly,01-01-90 12:00
Y12025,1,6,Yearly,01-01-90 12:00
Y12026,1,6,Yearly,01-01-70 12:00
Y12027,1,6,Yearly,01-01-70 12:00
Y12028,1,6,Yearly,01-01-90 12:00
Y12029,1,6,Yearly,01-01-90 12:00
Y12030,1,6,Yearly,01-01-90 12:00
Y12031,1,6,Yearly,01-01-90 12:00
Y12032,1,6,Yearly,01-01-90 12:00
Y12033,1,6,Yearly,01-01-90 12:00
Y12034,1,6,Yearly,01-01-90 12:00
Y12035,1,6,Yearly,01-01-90 12:00
Y12036,1,6,Yearly,01-01-84 12:00
Y12037,1,6,Yearly,01-01-84 12:00
Y12038,1,6,Yearly,01-01-84 12:00
Y12039,1,6,Yearly,01-01-84 12:00
Y12040,1,6,Yearly,01-01-84 12:00
Y12041,1,6,Yearly,01-01-84 12:00
Y12042,1,6,Yearly,01-01-90 12:00
Y12043,1,6,Yearly,01-01-90 12:00
Y12044,1,6,Yearly,01-01-90 12:00
Y12045,1,6,Yearly,01-01-90 12:00
Y12046,1,6,Yearly,01-01-90 12:00
Y12047,1,6,Yearly,01-01-90 12:00
Y12048,1,6,Yearly,01-01-90 12:00
Y12049,1,6,Yearly,01-01-90 12:00
Y12050,1,6,Yearly,01-01-70 12:00
Y12051,1,6,Yearly,01-01-90 12:00
Y12052,1,6,Yearly,01-01-90 12:00
Y12053,1,6,Yearly,01-01-90 12:00
Y12054,1,6,Yearly,01-01-90 12:00
Y12055,1,6,Yearly,01-01-90 12:00
Y12056,1,6,Yearly,01-01-90 12:00
Y12057,1,6,Yearly,01-01-90 12:00
Y12058,1,6,Yearly,01-01-90 12:00
Y12059,1,6,Yearly,01-01-90 12:00
Y12060,1,6,Yearly,01-01-90 12:00
Y12061,1,6,Yearly,01-01-90 12:00
Y12062,1,6,Yearly,01-01-90 12:00
Y12063,1,6,Yearly,01-01-90 12:00
Y12064,1,6,Yearly,01-01-90 12:00
Y12065,1,6,Yearly,01-01-90 12:00
Y12066,1,6,Yearly,01-01-90 12:00
Y12067,1,6,Yearly,01-01-90 12:00
Y12068,1,6,Yearly,01-01-90 12:00
Y12069,1,6,Yearly,01-01-90 12:00
Y12070,1,6,Yearly,01-01-90 12:00
Y12071,1,6,Yearly,01-01-90 12:00
Y12072,1,6,Yearly,01-01-90 12:00
Y12073,1,6,Yearly,01-01-90 12:00
Y12074,1,6,Yearly,01-01-90 12:00
Y12075,1,6,Yearly,01-01-90 12:00
Y12076,1,6,Yearly,01-01-90 12:00
Y12077,1,6,Yearly,01-01-90 12:00
Y12078,1,6,Yearly,01-01-84 12:00
Y12079,1,6,Yearly,01-01-84 12:00
Y12080,1,6,Yearly,01-01-84 12:00
Y12081,1,6,Yearly,01-01-84 12:00
Y12082,1,6,Yearly,01-01-70 12:00
Y12083,1,6,Yearly,31-12-90 12:00
Y12084,1,6,Yearly,31-12-80 12:00
Y12085,1,6,Yearly,31-12-95 12:00
Y12086,1,6,Yearly,31-12-90 12:00
Y12087,1,6,Yearly,31-12-95 12:00
Y12088,1,6,Yearly,31-12-75 12:00
Y12089,1,6,Yearly,31-12-60 12:00
Y12090,1,6,Yearly,31-12-60 12:00
Y12091,1,6,Yearly,31-12-60 12:00
Y12092,1,6,Yearly,31-12-95 12:00
Y12093,1,6,Yearly,31-12-92 12:00
Y12094,1,6,Yearly,31-12-66 12:00
Y12095,1,6,Yearly,31-12-78 12:00
Y12096,1,6,Yearly,31-12-80 12:00
Y12097,1,6,Yearly,31-12-70 12:00
Y12098,1,6,Yearly,31-12-60 12:00
Y12099,1,6,Yearly,31-12-62 12:00
Y12100,1,6,Yearly,31-12-95 12:00
Y12101,1,6,Yearly,31-12-70 12:00
Y12102,1,6,Yearly,31-12-95 12:00
Y12103,1,6,Yearly,31-12-60 12:00
Y12104,1,6,Yearly,31-12-79 12:00
Y12105,1,6,Yearly,31-12-60 12:00
Y12106,1,6,Yearly,31-12-95 12:00
Y12107,1,6,Yearly,31-12-60 12:00
Y12108,1,6,Yearly,31-12-60 12:00
Y12109,1,6,Yearly,31-12-78 12:00
